SKU,Brand,Product Name,Category,ADL Price,MEL Price,Price Difference,ADL packaging,MEL packaging,ADL Specials,MEL Specials,Same Specials,ADL Suppliers,MEL Suppliers
1083036P,Steamrail,Pale Ale Bottle 330mL,Liquor,43.0,40.0,3.0,24 Pack,24 Pack,,,True,['963979 MAX LIQUOR SUPPLIES'],['963979 MAX LIQUOR SUPPLIES']
438894P,Coca-Cola,Sprite Soft Drink Lemon Lime,Drinks,2.35,2.25,0.10000000000000009,2L,2L,,,True,"['800144 PARMALAT AUST LTD', '931859 COCA COLA AMATIL AUST P/L (GHPL)', '920367 PARMALAT AUST LTD', '37079 PARMALAT A', '931858 COCA COLA AMATIL AUST P/L (DIREC', '10383 COCA-COLA AMATIL (AUST) P/L', '722642 COCA-COLA AMATIL (AUST) P/L', '800825 DELETED LINE SUPPLIER']","['800144 PARMALAT AUST LTD', '931859 COCA COLA AMATIL AUST P/L (GHPL)', '920367 PARMALAT AUST LTD', '37079 PARMALAT A', '931858 COCA COLA AMATIL AUST P/L (DIREC', '10383 COCA-COLA AMATIL (AUST) P/L', '722642 COCA-COLA AMATIL (AUST) P/L', '800825 DELETED LINE SUPPLIER']"
5417381P,Earth Choice,Laundry Liquid,Household,2.35,2.2,0.1499999999999999,1L,1L,,,True,['653217 NATURES ORGANICS P/L'],['653217 NATURES ORGANICS P/L']
3048309P,Mount Franklin,Lightly Sparkling Can Raspberry,Drinks,4.9,4.5,0.40000000000000036,4 pack,4 pack,,,True,['931859 COCA COLA AMATIL AUST P/L (GHPL)'],['931859 COCA COLA AMATIL AUST P/L (GHPL)']
4582032P,Hercules,Twinzip Storage Bags Large 27cm x 33cm,Back to School,2.9,2.65,0.25,15 pack,15 pack,,,True,"['972542 ICBG PTY LTD', '741973 INTERNATIONAL CONSOLIDATED BUSIN']","['972542 ICBG PTY LTD', '741973 INTERNATIONAL CONSOLIDATED BUSIN']"
3014840P,Schweppes,Lime Flavour Soda Water With Lime Juice,Summer Entertaining,1.7,1.6,0.09999999999999987,1.1L,1.1L,$pecials,$pecials,True,['44059 ASAHI BEVERAGES PTY LTD'],['44059 ASAHI BEVERAGES PTY LTD']
2481307P,Bundaberg,Diet Ginger Beer Multipack Bottles 375mL,Summer Entertaining,6.1,5.7,0.39999999999999947,4 pack,4 pack,,,True,['427551 BUNDABERG BREWED DRINKS'],['427551 BUNDABERG BREWED DRINKS']
1253191P,Somersby,Apple Cider Can 375mL,Summer Entertaining,26.0,24.0,2.0,10 Pack,10 Pack,,,True,['963979 MAX LIQUOR SUPPLIES'],['963979 MAX LIQUOR SUPPLIES']
3026099P,Mr Finch,Apple Cider Can 375mL,Liquor,18.0,16.0,2.0,10 Pack,10 Pack,$pecials,$pecials,True,['963979 MAX LIQUOR SUPPLIES'],['963979 MAX LIQUOR SUPPLIES']
6526123P,Jack Link's,Original Beef Jerky,Pantry,4.5,4.55,0.04999999999999982,50g,50g,,,True,"[""939706 JACK LINK'S""]","[""939706 JACK LINK'S""]"
8464796P,Coca-Cola,Classic Coke Multipack Cans 375mL,Drinks,19.07,17.22,1.8500000000000014,30 Pack,30 Pack,$pecials,$pecials,True,"['931858 COCA COLA AMATIL AUST P/L (DIREC', '931859 COCA COLA AMATIL AUST P/L (GHPL)']","['931858 COCA COLA AMATIL AUST P/L (DIREC', '931859 COCA COLA AMATIL AUST P/L (GHPL)']"
5179159P,Coles,Lemonade,Summer Entertaining,1.0,0.75,0.25,1.25L,1.25L,,,True,"['965174 TRU BLU BE', '733709 CARLTON & UNITED BREWERIES', '44059 ASAHI BEVERAGES PTY LTD', '933172 P & N BEVE', '806063 P & N BEVE']","['965174 TRU BLU BE', '733709 CARLTON & UNITED BREWERIES', '44059 ASAHI BEVERAGES PTY LTD', '933172 P & N BEVE', '806063 P & N BEVE']"
316321P,MasterFoods,Whole Cloves,Pantry,4.2,4.3,0.09999999999999964,20g,20g,,,True,['30791 MARS AUST'],['30791 MARS AUST']
3392370P,Dare,Triple Espresso Robusta & Arabica Iced Coffee,"Dairy, Eggs & Meals",3.3,3.35,0.050000000000000266,500mL,500mL,,,True,"['367702 CAPITOL CHILLED FOODS (AUST) P/L', '665282 LD & D AUST P/L', '966403 LD&D AUSTRALIA PTY LTD (DSD)']","['367702 CAPITOL CHILLED FOODS (AUST) P/L', '665282 LD & D AUST P/L', '966403 LD&D AUSTRALIA PTY LTD (DSD)']"
3025970P,Mr Finch,Apple Cider Bottle 330mL,Liquor,40.0,38.0,2.0,24 Pack,24 Pack,$pecials,$pecials,True,"['963979 MAX LIQUOR SUPPLIES', '972348 IDYLL WINE CO PTY LTD']","['963979 MAX LIQUOR SUPPLIES', '972348 IDYLL WINE CO PTY LTD']"
5037303P,Sunkist,Orange Crush,Summer Entertaining,2.3,2.2,0.09999999999999964,1.25L,1.25L,,,True,['44059 ASAHI BEVERAGES PTY LTD'],['44059 ASAHI BEVERAGES PTY LTD']
9391596P,Sunkist,Orange Crush Soft Drink Can 375mL,Drinks,14.15,10.5,3.6500000000000004,24 Pack,24 Pack,$pecials,$pecials,True,['44059 ASAHI BEVERAGES PTY LTD'],['44059 ASAHI BEVERAGES PTY LTD']
