SKU,Brand,Product Name,Category,ADL Price,ADL Suppliers
9114880P,Kiwi,Black School Laces,Household,2.0,"['633399 SARALEE HOUSEHOLD & BODYCARE (AU', '131601 SC JOHNSON & SON P/L']"
2445530P,Combat,Roach Bait Strips,Summer Entertaining,6.0,"['942978 HENKEL AUST P/L (GM)', '972100 HENKEL AUSTRALIA PTY LTD']"
1382616P,Sunrice,Rice & Quinoa,Pantry,3.5,['42030 SUNRICE']
3722985P,LPO,Purify Micellar Water,Health & Beauty,7.8,['931394 AWARE ENVIRONMENTAL PRODUCTS P/L']
2859055P,Olay,Eyes Ultimate Eye Cream,Health & Beauty,49.0,['422720 PROCTER & GAMBLE AUST P/L']
3131694P,Bonds,Salt N Pepper Legging Medium/Long,Household,7.5,"['974150 HANES AUSTRALASIA APPAREL GROUP', '936477 PACIFIC BRANDS HOSIERY GROUP (X-']"
189279P,Fairy,Cooking Margarine,"Dairy, Eggs & Meals",1.95,"['321273 PEERLESS HOLDINGS P/L', '645273 UNILEVER A/ASIA FOODS']"
3575610P,Coles,"RSPCA Approved Mini Chicken Roast Boneless With Basil, Sundried Tomato & Mozzarella Stuffing",Meat & Seafood,6.5,"['929595 CORDINA FOODS P/L (SET WEIGHT)', '922163 MILNE AGRIGROUP P/L']"
3722486P,LPO,Rewind Age Defence Eye Serum,Health & Beauty,19.2,['931394 AWARE ENVIRONMENTAL PRODUCTS P/L']
2980012P,Tamar Valley,Greek Style Vanilla Bean Yoghurt,"Dairy, Eggs & Meals",5.0,"['972697 LACTALIS AUSTRALIA P/L', '64262 LACTALIS AUSTRALIA P/L']"
3897264P,Boss,Vanilla Latte Coffee,"Dairy, Eggs & Meals",3.5,['935273 FRUCOR BEVERAGES (AUST) P/L']
3588190P,Mortein,Mice Kill Reusable Trap,Household,7.0,"['656186 COLES SUPERMARKETS (EXP)', '975782 RB (HYGIENE HOME) AUSTRALIA PTY']"
2920655P,Batiste,Eden Dry Shampoo,Health & Beauty,10.0,['7641 CHURCH & DWIGHT (AUST) P/L']
3774162P,Penfield Olives,Australian Extra Virgin Olive Oil,Pantry,7.99,['977502 PENFIELD OLIVES TRUST']
