SKU,Brand,Product Name,Category,ADL Price,MEL Price,Price Difference,ADL packaging,MEL packaging,ADL Specials,MEL Specials,Specials Comp,ADL Suppliers,MEL Suppliers
3088110P,Chobani,Vanilla Yoghurt Pouch,"Dairy, Eggs & Meals",1.12,1.12,0.0,140g,140g,$pecials,$pecials,True,['636282 CHOBANI PTY LTD'],['636282 CHOBANI PTY LTD']
5127246P,Golden Circle,Golden Pash Fruit Drink Multipack 250mL,Back to School,1.9,1.9,0.0,6 pack,6 pack,$pecials,$pecials,True,['109738 HEINZ'],['109738 HEINZ']
5251460P,Fancy Feast,Chicken Feast Chunky Classic Cat Food,Pet,1.45,1.45,0.0,85g,85g,,,True,"['971213 NESTLE PURINA PETCARE', '605450 NESTLE AUST LTD FRISKIES PET CAR']","['971213 NESTLE PURINA PETCARE', '605450 NESTLE AUST LTD FRISKIES PET CAR']"
8564940P,Aeroplane,Lite Vanilla Berry Jelly Crystals 2 pack,Pantry,1.9,1.9,0.0,18g,18g,,,True,['32590 MCCORMICK FOODS AUST P/L'],['32590 MCCORMICK FOODS AUST P/L']
2700580P,Coles,Frozen Beef Burgers 10 pack,Summer Entertaining,8.4,8.4,0.0,800g,800g,,,True,['963248 AUSTRALIAN INTL FOODS P/L (HOUSE'],['963248 AUSTRALIAN INTL FOODS P/L (HOUSE']
3618983P,4Legs,Gourmet Receipe Lamb With Beetroot & Green Beans,Pet,7.0,7.0,0.0,1.3kg,1.3kg,$pecials,$pecials,True,['929812 4 LEGS PET FOOD CO'],['929812 4 LEGS PET FOOD CO']
6026890P,Latina,Fresh Creamy Sundried Tomato Pasta Sauce,"Dairy, Eggs & Meals",4.0,4.0,0.0,425g,425g,$pecials,$pecials,True,['600962 GENERAL MILLS AUST P/L (CHILLED)'],['600962 GENERAL MILLS AUST P/L (CHILLED)']
3551984P,Coles,Crumbed Fish Fingers 16 Pack,Frozen,3.8,3.8,0.0,400g,400g,,,True,['757250 KB SEAFOOD COMPANY PTY LTD'],['757250 KB SEAFOOD COMPANY PTY LTD']
9126507P,Oral-B,Essential Waxed Dental Floss,Health & Beauty,5.85,5.85,0.0,2x50m,2x50m,,,True,"['422720 PROCTER & GAMBLE AUST P/L', '950411 PROCTER & GAMBLE AUST P/L (FORME', '19267 PROCTER & GAMBLE AUST P/L (PREV']","['422720 PROCTER & GAMBLE AUST P/L', '950411 PROCTER & GAMBLE AUST P/L (FORME', '19267 PROCTER & GAMBLE AUST P/L (PREV']"
2655146P,Wrigley's,Extra Peppermint Sugar Free Chewing Gum 4 x 10 Piece Pack,Pantry,2.8,2.8,0.0,56g,56g,$pecials,$pecials,True,"['51314 THE WRIGLEY CO P/L', '974932 MARS WRIGLEY CONFECTIONERY']","['51314 THE WRIGLEY CO P/L', '974932 MARS WRIGLEY CONFECTIONERY']"
3163533P,Scholl,Velvet Smooth Exfoliating Foot File,Health & Beauty,55.0,55.0,0.0,1 pack,1 pack,,,True,['672882 RECKITT BENCKISER (AUST) P/L'],['672882 RECKITT BENCKISER (AUST) P/L']
4461832P,Nescafe,Mocha Coffee Sachets,Pantry,6.3,6.3,0.0,10 pack,10 pack,,,True,['621994 NESTLE AUST LTD'],['621994 NESTLE AUST LTD']
3014170P,Mortein,Aics odourless Refill,Household,16.0,16.0,0.0,154g,154g,,,True,"['975782 RB (HYGIENE HOME) AUSTRALIA PTY', '672882 RECKITT BENCKISER (AUST) P/L']","['975782 RB (HYGIENE HOME) AUSTRALIA PTY', '672882 RECKITT BENCKISER (AUST) P/L']"
9580657P,Black Swan,Tzatziki Dip,Summer Entertaining,3.5,3.5,0.0,200g,200g,,,True,"['65269 POSEIDON TARAMA P/L (RECEIVERS &', '970642 BLACK SWAN FOODS']","['65269 POSEIDON TARAMA P/L (RECEIVERS &', '970642 BLACK SWAN FOODS']"
5032605P,Sorbent,Clean & Fresh Silky White Flushable Wipes Soft Pack,Household,3.5,3.5,0.0,40 pack,40 pack,,,True,['4545 THE SORBENT PAPER CO'],['4545 THE SORBENT PAPER CO']
6068980P,Hikari,White Miso Paste,International Foods,4.0,4.0,0.0,400g,400g,,,True,['641316 ORIENTAL MERCHANT P/L'],['641316 ORIENTAL MERCHANT P/L']
